ID,Source,Target,Weight
1,001,002,2.2
2,001,003,2.95
3,001,004,2.2
4,001,005,2.95
5,001,006,2.2
6,001,009,2.2
7,001,020,1.0
8,002,003,2.8833333333333333
9,002,004,2.2
10,002,005,2.8833333333333333
11,002,006,2.2
12,002,009,2.2
13,002,020,1.0
14,003,004,2.2
15,003,005,3.6333333333333333
16,003,006,2.2
17,003,009,2.2
18,003,020,1.0
19,004,005,3.2
20,004,006,2.2
21,004,009,3.2
22,004,020,1.0
23,005,006,2.2
24,005,009,3.2
25,005,020,1.0
26,006,009,2.2
27,006,020,1.0
28,009,020,1.0
29,001,010,0.6
30,002,010,0.6
31,003,010,0.6
32,004,010,0.6
33,005,010,0.6
34,006,010,0.6
35,009,010,0.6
36,001,008,0.48333333333333334
37,003,008,0.48333333333333334
38,005,008,0.48333333333333334
39,002,011,0.6833333333333333
40,002,012,0.6833333333333333
41,002,013,0.6833333333333333
42,002,014,0.6833333333333333
43,003,011,0.6833333333333333
44,003,012,0.6833333333333333
45,003,013,0.6833333333333333
46,003,014,0.6833333333333333
47,005,011,0.6833333333333333
48,005,012,0.6833333333333333
49,005,013,0.6833333333333333
50,005,014,0.6833333333333333
51,011,012,0.6833333333333333
52,011,013,0.6833333333333333
53,011,014,0.6833333333333333
54,012,013,0.6833333333333333
55,012,014,0.6833333333333333
56,013,014,0.6833333333333333
57,004,007,1.6
58,004,015,1.6
59,004,016,1.6
60,004,018,1.6
61,004,021,1.0
62,004,022,1.0
63,005,007,1.6
64,005,015,1.6
65,005,016,1.6
66,005,018,1.6
67,005,021,1.0
68,005,022,1.0
69,007,009,1.6
70,007,015,1.6
71,007,016,1.6
72,007,018,1.6
73,007,021,1.0
74,007,022,1.0
75,009,015,1.6
76,009,016,1.6
77,009,018,1.6
78,009,021,1.0
79,009,022,1.0
80,015,016,1.6
81,015,018,1.6
82,015,021,1.0
83,015,022,1.0
84,016,018,1.6
85,016,021,1.0
86,016,022,1.0
87,018,021,1.0
88,018,022,1.0
89,021,022,1.0
90,001,007,0.6
91,001,015,0.6
92,001,016,0.6
93,001,018,0.6
94,002,007,0.6
95,002,015,0.6
96,002,016,0.6
97,002,018,0.6
98,003,007,0.6
99,003,015,0.6
100,003,016,0.6
101,003,018,0.6
102,006,007,0.6
103,006,015,0.6
104,006,016,0.6
105,006,018,0.6
